name,id,coordinates,dataset,comments
San Germano,3170842,"41.49796,13.75017",geonames,""
Monte Cassino,3173005,"41.48916,13.81222",geonames,""
Nord-Europa,7729883,"61.68987,2.90039",geonames,""
Kongeriket Sachsen,0,"",none,"This is the historical kingdom, which has no entry in geonames"
Kongeriket Bayern,0,"",none,"Same situation as the previous toponym"
Hotel Tramontano,6525663,"40.6325, 14.3783",geonames,"Not entirely certain if this is the correct toponym"
Pilestredet,996889,"59.914434,10.741510",stedsnavn,""
Fossum hovedgård,9826450,"59.24376,9.56141",geonames,""
Arbins gate,11722429,"59.91459,10.72678",geonames,""
Ibsenmuseet,0,"",none,""
Vår Frelsers gravlund,9535476,"59.92129, 10.74399",geonames,""
Trefoldighetskirke,8532314,"59.91679,10.74521",geonames,"Listed name is Trefoldighetskirken. No results will be found when querying the given entity name"
Ullevålsveien,997459,"59.918260,10.743895",stedsnavn,"Geonames has an entry for a school on this road, but not the road itself"
Oslo,3143244,"59.91273,10.74609",geonames,"This is also referenced earlier in the text, though with the historical name Christiania"
Danmark,2623032,"56,10",geonames,""
Nord-Afrika,7729887,"32.95337,9.97559",geonames,"Region"
Østlandet,3143185,"62,10.75",geonames,"Region"
Berlin,2950159,"52.52437,13.41053",geonames,""
Nord-Amerika,6255149,"46.07323,-100.54688",geonames,""
Sørlandet,3137468,"58.5,7.5",geonames,"Region"
Øvre Telemark,0,"",none,""
Sæby,2614172,"57.33188,10.52251",geonames,""
Frederikshavn,2621927,"57.44073,10.53661",geonames,""
Kattegat,2960850,"56.93191,11.44252",geonames,""
England,6269131,"52.16045,-0.70312",geonames,""
Storbritannia,2635167,"54.75844,-2.69531",geonames,""
London,2643743,"51.50853,-0.12574",geonames,""
Løren,6940428,"59.93059,10.79257",geonames,""
Universitetet i Oslo,11844497,"59.9375,10.71905",geonames,"The entry with id: 6940541 also references the same place"
